,Player,Team,SAVID,$,PA,PA 600,AB,R,HR,RBI,SB,AVG,OBP,SLG,K,BB,H,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
437,Carlos Santana,CLE,467793.0,6.86,532.0,600,531,67,19,76,4,0.239,0.323,0.404,107,64,126,1007,231.5,366.376404494382,249.5,-18.0
438,Carlos Narvaez,BOS,665966.0,6.93,196.0,600,526,64,15,64,9,0.224,0.32,0.368,174,64,119,951,320.0,572.75,498.0,-178.0
439,Carson Kelly,CHC,608348.0,6.53,290.0,600,542,64,16,64,3,0.236,0.308,0.38,122,49,128,933,346.5,534.7410071942446,399.0,-52.5
440,Ryan Bliss,SEA,669208.0,11.76,324.0,600,546,72,18,70,42,0.226,0.292,0.379,166,42,124,1141,47.5,539.3333333333334,414.0,-366.5
441,Stuart Fairchild,CIN,656413.0,,216.0,600,530,72,19,69,27,0.223,0.309,0.391,158,50,119,1096,88.5,,,
442,Starling Marte,NYM,516782.0,9.56,299.0,600,545,72,14,70,18,0.253,0.318,0.386,134,40,138,1042,164.5,385.9438202247191,262.0,-97.5
443,Spencer Torkelson,DET,679529.0,4.87,370.0,600,535,63,19,64,4,0.218,0.299,0.385,154,55,116,926,354.5,373.2022471910112,255.0,99.5
444,Brooks Lee,MIN,686797.0,6.33,376.0,600,553,65,14,63,7,0.241,0.298,0.371,114,44,132,915,371.0,398.2921348314607,267.0,104.0
445,Brett Wisely,SF,689172.0,4.87,171.0,600,561,63,14,59,9,0.214,0.264,0.338,154,35,119,889,391.0,560.25,479.0,-88.0
446,Brett Baty,NYM,683146.0,4.03,204.0,600,544,64,17,61,2,0.216,0.287,0.35,158,50,117,877,397.5,506.5977011494253,342.0,55.5
447,Brendan Rodgers,HOU,663898.0,6.08,267.0,600,550,67,15,67,3,0.243,0.302,0.388,134,42,134,938,339.0,490.8181818181818,326.5,12.5
451,Christian Vazquez,MIN,543877.0,4.84,263.0,600,563,59,11,59,5,0.239,0.283,0.352,134,31,134,873,400.0,557.7619047619048,473.0,-73.0
