,Player,SAVID,FGID,Team,Level,Age,K%,BB%,Brl%,Solid%,Flare%,Under%,Topped%,Weak%,PPA,HBPRate,SplitK_R,SplitK_L,SplitBB_R,SplitBB_L,SplitBrl_R,SplitBrl_L,SplitSolid_R,SplitSolid_L,SplitFlare_R,SplitFlare_L,SplitTopped_R,SplitTopped_L,SplitUnder_R,SplitUnder_L,SplitWeak_R,SplitWeak_L
75,Dan Altavilla,656186,16507,CWS,MLB,33.0,0.185,0.096,0.088,0.065,0.235,0.222,0.355,0.046,3.905,0.017,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
76,Jairo Iriarte,683568,26907,CWS,MLB,23.7,0.209,0.101,0.09,0.051,0.243,0.24,0.342,0.043,3.905,0.027,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
77,Wilkelman Gonzalez,682790,26641,CWS,MLB,23.4,0.224,0.116,0.083,0.053,0.24,0.341,0.226,0.052,3.905,0.023,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
78,Jonathan Cannon,686563,31730,CWS,MLB,25.1,0.183,0.079,0.084,0.067,0.245,0.279,0.28,0.041,3.905,0.012,1.007,0.9806666666666667,0.9436666666666667,1.077,0.968,1.09,0.9796666666666666,1.0836666666666668,0.9566666666666667,1.0413333333333332,1.039,0.9343333333333333,1.02,1.0123333333333333,0.9299999999999999,0.9109999999999999
79,Owen White,669391,22273,CWS,MLB,26.0,0.206,0.098,0.074,0.063,0.251,0.238,0.294,0.048,3.905,0.014,1.015,0.967,0.898,1.132,1.02,1.072,1.025,1.074,0.981,1.019,1.015,0.942,0.993,1.053,0.944,0.821
80,Bryan M. Hudson,663542,19924,CWS,MLB,28.3,0.245,0.091,0.073,0.059,0.237,0.276,0.339,0.044,3.905,0.011,0.967,1.05,0.997,0.972,1.085,0.824,1.058,0.843,1.023,0.977,0.949,1.094,1.029,0.926,0.862,1.374
81,Elvis Peguero,665625,21652,CWS,MLB,28.4,0.21,0.091,0.065,0.063,0.242,0.193,0.426,0.039,3.905,0.013,0.9613333333333333,1.0506666666666666,0.9723333333333334,1.0276666666666665,1.0316666666666667,1.0186666666666668,0.8706666666666667,1.2836666666666667,0.9623333333333334,1.0526666666666666,1.059,0.8826666666666666,0.9543333333333334,1.101,0.9299999999999999,0.9333333333333332
82,Cam Booser,592155,16061,CWS,MLB,33.3,0.239,0.091,0.084,0.059,0.237,0.368,0.222,0.046,3.905,0.006,0.967,1.05,0.997,0.972,1.085,0.824,1.058,0.843,1.023,0.977,0.949,1.094,1.029,0.926,0.862,1.374
83,Fraser Ellard,686642,29530,CWS,MLB,27.8,0.248,0.094,0.073,0.054,0.25,0.269,0.315,0.041,3.905,0.021,0.967,1.05,0.997,0.972,1.085,0.824,1.058,0.843,1.023,0.977,0.949,1.094,1.029,0.926,0.862,1.374
84,Gavin Williams,668909,30122,CLE,MLB,26.1,0.224,0.116,0.077,0.061,0.246,0.27,0.309,0.042,3.905,0.01,0.9973333333333333,0.99,0.8613333333333334,1.1556666666666666,1.0106666666666666,1.0506666666666666,1.038,1.0270000000000001,1.0163333333333333,0.9823333333333333,0.983,0.9896666666666666,0.984,1.0473333333333332,1.0386666666666666,0.8006666666666666
