,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
123,Jeffrey Springs,OAK,14.22,25.0,138.0,180,200,3.55,1.12,10,149,71,486.7,58.0,258.1727272727273,76.0,-18.0
60,Nathan Eovaldi,TEX,14.13,27.0,160.6,180,177,3.85,1.17,12,169,77,479.75,59.0,204.36666666666667,59.0,0.0
65,Taj Bradley,TB,14.09,29.0,159.0,180,190,4.1,1.23,10,159,82,479.35,60.0,203.94666666666663,58.0,2.0
70,Ronel Blanco,HOU,14.07,28.0,156.9,180,193,4.0,1.27,11,149,80,483.83,61.0,237.16666666666663,69.0,-8.0
34,Tyler Anderson,LAA,13.97,28.0,171.5,180,162,3.8,1.23,10,157,76,460.48,62.0,491.3691275167785,139.0,-77.0
28,Chris Bassitt,TOR,13.92,30.0,171.8,180,177,4.2,1.31,12,165,84,471.75,63.0,348.62,99.0,-36.0
40,Zach Eflin,BAL,13.81,29.0,167.8,180,159,3.8,1.16,12,173,76,463.75,64.0,186.7333333333333,53.0,11.0
53,MacKenzie Gore,WSH,13.77,30.0,162.8,180,182,4.0,1.31,9,158,80,461.1,65.0,213.2333333333333,61.0,4.0
102,Clay Holmes,NYM,13.72,20.0,142.6,180,194,3.75,1.19,10,153,75,463.25,66.0,295.2866666666667,84.0,-18.0
63,Michael Wacha,KC,13.57,28.0,159.8,180,166,3.75,1.17,11,163,75,455.95,67.5,264.7933333333333,77.0,-9.5
75,Ryan Pepiot,TB,13.57,28.0,152.6,180,184,4.0,1.2,9,149,80,451.75,67.5,170.42666666666668,48.0,19.5
175,Drew Rasmussen,TB,13.52,18.0,113.4,180,207,3.25,1.02,9,141,65,464.15,69.0,255.42,74.0,-5.0
101,Yu Darvish,SD,13.49,25.0,143.5,180,179,3.6,1.12,12,150,72,459.48,70.0,232.82666666666665,67.0,3.0
44,Cristopher Sanchez,PHI,13.39,29.0,165.9,180,157,3.85,1.18,10,171,77,443.68,71.0,188.97333333333333,54.0,17.0
42,Brady Singer,CIN,13.28,29.0,167.6,180,170,4.3,1.27,11,174,86,446.3,72.0,344.7333333333333,98.0,-26.0
93,Bowden Francis,TOR,13.27,24.0,147.5,180,174,3.9,1.08,9,159,78,437.48,73.0,227.7133333333333,65.0,8.0
21,JP Sears,OAK,13.23,30.0,173.3,180,153,4.2,1.18,10,168,84,432.32,74.0,466.2363636363637,128.0,-54.0
26,Miles Mikolas,STL,12.78,30.0,172.5,180,128,3.75,1.09,11,175,75,416.32,75.0,561.2835820895523,176.0,-101.0
82,Charlie Morton,BAL,12.73,27.0,150.3,180,185,4.25,1.28,11,163,85,434.58,76.0,493.0344827586207,141.0,-65.0
121,Bryan Woo,SEA,12.69,25.0,138.5,180,166,3.6,1.03,10,158,72,423.83,77.0,138.08666666666667,40.0,37.0
154,DJ Herz,WSH,12.66,22.0,125.4,180,205,3.9,1.21,7,148,78,430.95,78.0,319.9266666666667,93.0,-15.0
47,Jameson Taillon,CHC,12.61,28.0,164.6,180,146,3.95,1.18,10,174,79,414.75,79.0,335.49333333333334,95.0,-16.0
149,Luis Gil,NYY,12.6,22.0,127.8,180,205,4.0,1.25,9,144,80,434.35,80.0,196.1,57.0,23.0
106,Nestor Cortes,MIL,12.59,22.0,140.4,180,171,3.7,1.13,8,153,74,418.3,81.0,278.87333333333333,81.0,0.0
72,Ranger Suarez,PHI,12.58,27.0,154.4,180,171,4.0,1.29,12,168,80,436.4,82.0,266.04,78.0,4.0
172,Kumar Rocker,TEX,12.44,22.0,116.2,180,201,3.6,1.14,9,149,72,428.85,83.0,269.56666666666666,79.0,4.0
98,Jesus Luzardo,PHI,12.4,25.0,145.0,180,178,4.05,1.24,11,164,81,426.85,84.0,276.7133333333333,80.0,4.0
81,Merrill Kelly,ARI,12.37,26.0,150.4,180,165,3.9,1.22,13,168,78,430.6,85.0,294.48,83.0,2.0
69,Brayan Bello,BOS,12.36,28.0,157.8,180,177,4.4,1.37,10,176,88,420.65,86.0,313.48,90.0,-4.0
109,Reese Olson,DET,12.35,26.0,140.0,180,173,3.75,1.19,9,159,75,416.2,87.0,256.22,75.0,12.0
55,Erick Fedde,STL,12.32,29.0,162.0,180,158,4.1,1.3,10,168,82,414.3,88.5,315.14666666666665,91.0,-2.5
130,Clarke Schmidt,NYY,12.32,23.0,135.0,180,188,4.05,1.21,10,158,81,420.95,88.5,236.6266666666667,68.0,20.5
92,Nick Martinez,CIN,12.29,22.0,147.7,180,157,3.8,1.13,9,173,76,404.93,90.0,329.34,94.0,-4.0
143,Tyler Mahle,TEX,12.25,23.0,128.5,180,190,3.85,1.19,11,153,77,429.52,91.0,443.88666666666666,125.0,-34.0
129,Gavin Williams,CLE,12.17,26.0,135.7,180,184,3.9,1.26,10,153,78,417.53,92.0,231.3,66.0,26.0
114,Tobias Myers,MIL,12.13,24.0,139.1,180,172,3.9,1.17,9,161,78,407.37,93.0,300.82,87.0,6.0
99,Walker Buehler,BOS,12.11,25.0,144.2,180,178,4.2,1.25,12,171,84,421.25,94.0,243.7,71.0,23.0
41,Tanner Houck,BOS,12.1,28.0,167.7,180,145,4.05,1.31,10,171,81,395.33,95.0,227.0133333333333,64.0,31.0
159,Lucas Giolito,BOS,12.05,22.0,122.9,180,205,4.15,1.24,11,162,83,427.12,96.0,374.46,105.0,-9.0
105,Shane Baz,TB,12.04,24.0,140.8,180,176,4.05,1.23,8,159,81,401.4,97.0,174.96,50.0,47.0
94,Mitchell Parker,WSH,11.96,26.0,146.5,180,162,3.9,1.21,9,163,78,401.63,98.0,494.13605442176873,142.0,-44.0
153,Sean Burke,CWS,11.86,22.0,125.4,180,190,3.85,1.23,5,155,77,391.95,99.0,405.3466666666667,116.0,-17.0
132,Nick Lodolo,CIN,11.81,24.0,133.6,180,191,4.35,1.26,10,161,87,398.6,100.0,250.69333333333333,72.0,28.0
136,Andrew Heaney,PIT,11.74,23.0,130.8,180,173,3.85,1.15,8,159,77,388.1,101.0,483.93617021276594,134.0,-33.0
96,Aaron Civale,MIL,11.72,26.0,145.9,180,167,4.15,1.26,9,166,83,392.48,102.0,395.18666666666667,113.0,-11.0
135,Kyle Harrison,SF,11.69,25.0,131.7,180,188,4.15,1.28,8,157,83,394.93,103.0,371.1533333333333,103.0,0.0
178,Reid Detmers,LAA,11.65,19.0,111.9,180,205,3.9,1.22,9,148,78,405.58,104.0,393.1066666666667,112.0,-8.0
62,Jake Irvin,WSH,11.64,28.0,159.9,180,150,4.2,1.29,9,173,84,384.38,105.5,459.7,126.0,-20.5
182,Matthew Boyd,CHC,11.64,20.0,109.9,180,198,3.75,1.14,11,148,75,411.28,105.5,311.0933333333333,89.0,16.5
61,Ryan Feltner,COL,11.63,29.0,160.0,180,165,4.5,1.39,9,176,90,390.6,107.0,574.2222222222222,187.0,-80.0
184,David Festa,MIN,11.62,17.0,109.3,180,205,3.85,1.19,8,150,77,403.72,108.0,296.55333333333334,85.0,23.0
113,Dean Kremer,BAL,11.42,25.0,139.3,180,169,4.0,1.27,10,158,80,391.62,109.0,414.66,117.0,-8.0
110,David Peterson,NYM,11.21,25.0,139.9,180,172,4.2,1.32,11,167,84,387.18,110.0,352.8,101.0,9.0
104,Jon Gray,TEX,11.16,24.0,141.7,180,158,4.05,1.23,11,168,81,380.03,111.0,491.8125,140.0,-29.0
73,Kyle Freeland,COL,11.13,27.0,154.3,180,142,4.15,1.22,9,182,83,365.57,112.0,500.0,147.5,-35.5
181,Grant Holmes,ATL,11.06,16.0,111.2,180,186,3.8,1.13,8,164,76,378.0,113.0,352.86,102.0,11.0
131,Eduardo Rodriguez,ARI,10.96,24.0,133.8,180,166,4.0,1.26,12,165,80,383.65,114.0,383.68,109.0,5.0
128,Zack Littell,TB,10.88,23.0,135.7,180,151,3.9,1.15,10,168,78,364.13,115.0,382.22,108.0,7.0
160,Edward Cabrera,MIA,10.79,23.0,122.3,180,197,4.3,1.38,7,157,86,370.37,116.0,385.3933333333333,110.0,6.0
115,Jose Soriano,LAA,10.7,25.0,139.0,180,165,4.2,1.33,11,165,84,365.75,117.0,343.74666666666667,97.0,20.0
122,German Marquez,COL,10.69,25.0,138.4,180,170,4.35,1.33,10,178,87,371.6,118.0,548.421052631579,167.0,-49.0
141,Kutter Crawford,BOS,10.68,19.0,129.0,180,168,4.15,1.21,8,168,83,357.85,119.0,299.99333333333334,86.0,33.0
144,Justin Verlander,SF,10.67,22.0,128.3,180,152,3.6,1.16,11,156,72,364.27,120.0,486.1034482758621,136.0,-16.0
201,Hayden Birdsong,SF,10.57,18.0,104.6,180,215,4.2,1.39,6,149,84,367.75,121.0,376.92,106.0,15.0
150,Jordan Hicks,SF,10.51,22.0,126.8,180,181,4.25,1.35,7,167,85,352.9,122.0,488.60689655172416,137.0,-15.0
107,Ryan Weathers,MIA,10.5,25.0,140.1,180,161,4.35,1.3,7,172,87,344.82,123.0,373.0733333333333,104.0,19.0
185,Max Scherzer,TOR,10.45,19.0,108.6,180,179,3.85,1.14,13,157,77,374.35,124.0,388.56060606060606,111.0,13.0
100,Luis L. Ortiz,CLE,10.39,24.0,143.6,180,145,4.05,1.29,8,171,81,339.7,125.0,381.5933333333333,107.0,18.0
210,Luis Garcia,HOU,10.34,14.0,94.6,180,194,3.7,1.15,9,150,74,364.05,126.0,437.82,123.0,3.0
127,Andrew Abbott,CIN,10.3,25.0,136.0,180,162,4.3,1.31,10,165,86,355.8,127.0,468.0402684563758,129.0,-2.0
151,Simeon Woods Richardson,MIN,9.98,25.0,126.3,180,163,4.1,1.28,9,166,82,342.37,128.0,513.5957446808511,153.0,-25.0
